Player Name,Ranking ,Year,College Year,college_reg_stats.Team,college_reg_stats.GP,college_reg_stats.MPG,college_reg_stats.PPG,college_reg_stats.FGM,college_reg_stats.FGA,college_reg_stats.FG%,college_reg_stats.3PM,college_reg_stats.3PA,college_reg_stats.3P%,college_reg_stats.FTM,college_reg_stats.FTA,college_reg_stats.FT%,college_reg_stats.ORB,college_reg_stats.DRB,college_reg_stats.RPG,college_reg_stats.APG,college_reg_stats.SPG,college_reg_stats.BPG,college_reg_stats.TOV,college_reg_stats.PF,college_adv_stats.Team,college_adv_stats.TS%,college_adv_stats.eFG%,college_adv_stats.Total S %,college_adv_stats.ORB%,college_adv_stats.DRB%,college_adv_stats.TRB%,college_adv_stats.AST%,college_adv_stats.TOV%,college_adv_stats.STL%,college_adv_stats.BLK%,college_adv_stats.USG%,college_adv_stats.PPR,college_adv_stats.PPS,college_adv_stats.ORtg,college_adv_stats.DRtg,college_adv_stats.eDiff,college_adv_stats.FIC,college_adv_stats.PER
Brandon Clarke,4,2020,2019,GU,37,28.1,16.9,6.9,10.1,0.687,0.1,0.4,0.267,2.9,4.2,0.694,3.1,5.5,8.6,1.9,1.2,3.1,1.5,2.1,GU,0.699,0.693,164.8,13.9,19.7,17.1,12.1,11.3,2.3,11,23.9,-1,1.7,138.1,83.8,54.4,683.4,34.6
Buddy Hield,4,2017,2016,OU,37,35.4,25,8.1,16.2,0.501,4,8.7,0.457,4.8,5.4,0.88,1.2,4.5,5.7,2,1.1,0.5,3.1,2.1,OU,0.665,0.623,183.7,4,13,8.8,12.7,14,1.8,1.4,30.2,-4.7,1.5,124.1,100.7,23.4,553.8,26.7
Elfrid Payton,4,2015,2014,LA,35,35.9,19.2,6.8,13.3,0.509,0.4,1.5,0.259,5.3,8.6,0.609,2.3,3.7,6,5.9,2.3,0.6,3.6,2.4,LA,0.551,0.524,137.7,7.1,11.8,9.4,32.9,17.2,3.6,1.7,27.7,0.9,1.4,113.7,101.4,12.2,527.5,23.6
Ja Morant,1,2020,2019,MSU,33,36.6,24.5,8,16.1,0.499,1.7,4.8,0.363,6.7,8.2,0.813,1.2,4.5,5.7,10,1.8,0.8,5.2,1.5,MSU,0.612,0.553,167.5,3.9,12.7,8.6,51.8,20.5,2.7,2.3,33.3,4.1,1.5,119.5,95.1,24.4,680.8,29.9
Keegan Murray,5,2023,2022,UI,35,31.9,23.5,8.8,15.8,0.554,1.9,4.7,0.398,4.1,5.4,0.747,2.9,5.8,8.7,1.5,1.3,1.9,1.1,1.9,UI,0.638,0.614,169.9,9.8,20.1,14.9,9.9,5.7,2.3,6.3,29.6,-0.4,1.5,135.1,96,39,681,38.1
Malcolm Brogdon,1,2017,2016,UVA,37,34.1,18.2,6.2,13.6,0.457,2,5.2,0.391,3.8,4.2,0.897,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1,UVA,0.585,0.532,174.5,2.1,13.3,7.9,19.5,8.3,1.8,0.9,28.3,2.2,1.3,122.7,98.9,23.7,425.5,23.9
Marcus Smart,5,2015,2014,OSU,31,32.7,18,5.3,12.5,0.422,1.6,5.3,0.299,5.9,8.1,0.728,1.4,4.5,5.9,4.8,2.9,0.6,2.6,2.9,OSU,0.552,0.486,144.9,5.1,15,10.3,29.6,14,5,1.9,29.1,1.6,1.4,114.6,90.4,24.2,449.5,25.4
Mason Plumlee,4,2014,2013,DUKE,36,34.7,17.1,6.1,10.3,0.599,0,0,0,4.8,7.1,0.681,2.8,7.2,10,1.9,1,1.4,2.9,2.6,DUKE,0.628,0.599,128,9.8,23.3,16.9,11.5,17.4,1.7,4,24.5,-4.4,1.7,117.3,90.9,26.4,546,24.9
Victor Oladipo,2,2014,2013,IU,36,28.4,13.6,5.1,8.4,0.599,0.8,1.9,0.441,2.7,3.6,0.746,2.6,3.7,6.3,2.1,2.2,0.8,2.3,2.5,IU,0.671,0.648,178.6,11.8,13.9,12.9,15.2,18.3,4.5,2.8,22.2,-3.2,1.6,126,85.9,40.1,461.3,27
Anthony Davis,2,2013,2012,UK,40,32,14.2,5.3,8.4,0.623,0.1,0.5,0.15,3.6,5.1,0.709,3,7.4,10.4,1.3,1.4,4.7,1,2,UK,0.654,0.628,148.3,11.3,24.2,18.2,7.5,8.6,2.5,13.8,18.8,-0.6,1.7,138.8,79.3,59.5,789.1,33.5
Damian Lillard,1,2013,2012,WSU,32,34.6,24.5,7.2,15.5,0.467,2.9,7.2,0.409,7.1,8,0.887,0.5,4.5,5,4,1.5,0.2,2.3,1.9,WSU,0.635,0.562,176.3,1.9,14.9,8.7,27.1,10.7,2.5,0.7,33,1,1.6,128.5,99.9,28.7,518.4,32.7
Dion Waiters,5,2013,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,SU,0.565,0.534,156.8,2.4,8.3,5.4,21.4,10.4,4.6,1.5,26.8,1.6,1.3,118.2,92.2,26,311.8,25.2
Bradley Beal,3,2013,2012,UF,37,34.3,14.8,4.7,10.6,0.445,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,UF,0.575,0.525,155.3,4.7,18.3,11.6,12.7,14.3,2.5,2.6,22.9,-2,1.4,115.4,95.5,19.9,433.6,21.6
Andre Drummond,4,2013,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,UConn,0.509,0.538,83.3,13.9,15.6,14.8,3.4,13.5,1.8,9.9,20.8,-4.6,1.2,103.4,95.8,7.6,354.8,21.1
Nerlens Noel,3,2015,2014,KNT,24,31.9,10.5,4.1,6.9,0.59,0,0,0,2.3,4.3,0.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,KNT,0.583,0.59,111.9,10.4,21.5,16.5,9.1,17.3,3.8,12.7,17.1,-2.5,1.5,113.1,78.5,34.6,656,24.7
Tim Hardaway Jr.,5,2014,2013,UM,38,34.8,14.5,5.3,12.1,0.437,1.9,5.1,0.374,2,2.9,0.694,0.2,4.4,4.7,2.4,0.7,0.4,1.9,1.9,MICH,0.538,0.516,150.5,0.8,14.8,8,13,12.2,1.2,1.4,23.7,-0.7,1.2,108.7,98.9,9.8,328.9,17.1
Trey Burke,3,2014,2013,UM,39,35.2,18.6,6.6,14.4,0.463,1.9,5.1,0.384,3.4,4.3,0.801,0.5,2.6,3.2,6.7,1.6,0.5,2.2,1.9,UM,0.569,0.53,164.8,1.9,8.8,5.4,37.5,11.9,2.8,1.6,28.4,6.6,1.3,123.4,98.1,25.3,562.5,27.2
Devin Booker,4,2016,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,CLEM,0.568,0.548,135,11.3,16.8,14,6.6,14.2,1.2,3.9,23.2,-4.5,1.4,111.1,96.6,14.5,317.3,21.3
Michael Carter-Williams,1,2014,2013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,SU,0.491,0.438,138.1,4,11.2,7.7,40.2,22.1,4.8,1.7,22.2,4.2,1.2,104.9,86.7,18.1,507.5,20
Nikola Mirotic,2,2015,2014,RMB,31,24.1,12.4,3.9,7.6,0.506,1.3,2.9,0.461,3.3,4.1,0.811,1.3,3.3,4.6,1.2,1.1,0.8,1.1,2,RMB,0.656,0.593,177.8,7.4,17.1,12.4,8.8,10.1,2.6,3.4,21.7,-1,1.6,131.6,99.6,32,309.1,24.5
Joel Embiid,3,2017,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KU,0.655,0.629,151.1,12.8,26.5,20.3,11.6,21.6,2.3,11.5,23.3,-6.1,1.8,116.5,89.2,27.3,339.6,26.1
Andrew Wiggins,1,2015,2014,KU,35,32.8,17.1,5.4,12.1,0.448,1.2,3.6,0.341,5,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1,2.3,2.7,KU,0.563,0.499,156.4,8.4,12.2,10.5,9.2,13.1,2.1,3.1,26.3,-3.7,1.4,116,101.6,14.4,370.1,20.2
Karl-Anthony Towns,1,2016,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,UK,0.627,0.57,163,14.2,22.4,18.6,11.6,14.2,1.4,11.5,23.7,-2.9,1.6,126.8,77.2,49.7,417,29
Jahlil Okafor,5,2016,2015,DUKE,38,30.1,17.3,7.3,11.1,0.664,0,0,0,2.6,5.1,0.51,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,DUKE,0.641,0.664,117.5,14.7,18.2,16.6,9.4,15.6,1.5,4.5,27.5,-5.4,1.6,119.9,94.7,25.2,540.8,28.5
Nikola Jokic,3,2016,2015,MEG,24,30.5,15.4,6,11.9,0.503,1.5,4.3,0.346,1.9,2.9,0.667,2.5,6.8,9.3,3.5,1.5,0.9,2.3,3.2,MEG,0.61,0.579,154.29,10.58,25.75,18.31,19.47,13.45,2.46,3.15,23.71,0.12,1.43,120.6,100.6,14.1,360.9,24.61
Kristaps Porzingis,2,2016,2015,BETIS,34,21.7,10.7,4,8.6,0.471,0.7,2.4,0.313,1.9,2.5,0.774,1.6,3.2,4.8,0.4,0.9,1,1.3,2.9,BETIS,0.555,0.514,155.7,9.6,18.5,14.1,4.2,12.1,2.3,4.8,24.5,-4.7,1.3,109.2,108.4,0.8,235,19.2
Ben Simmons,1,2018,2017,LSU,33,34.9,19.2,6.5,11.7,0.56,0,0.1,0.333,6,9,0.67,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,LSU,0.6,0.561,156.3,9.6,26.8,18.2,27.4,17.4,3.1,2.5,26.4,-0.5,1.6,117.2,97.4,19.8,640.9,27.4
Dario Saric,2,2017,2016,EFE,37,23.5,11.3,4,8.3,0.481,1.1,2.7,0.41,2.2,2.7,0.82,1.4,4.1,5.5,1.3,0.8,0.3,1.5,2.1,EFE,0.595,0.547,171.1,7.6,22.1,14.9,9.1,13.5,1.9,1.3,22.5,-2.7,1.4,116.7,103.3,13.3,310.5,18.1
Jamal Murray,5,2017,2016,UK,36,35.2,20,6.8,14.9,0.454,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,UK,0.59,0.559,164.4,4.9,11.1,8.2,12.1,12.1,1.6,0.9,27.2,-2.5,1.3,120.5,101.2,19.2,415.8,21.6
Kyle Kuzma,4,2018,2017,U of U,29,30.8,16.4,6.3,12.4,0.504,0.9,2.9,0.321,2.9,4.4,0.669,2.8,6.6,9.3,2.4,0.6,0.5,2.1,1.6,U of U,0.565,0.542,149.5,11.2,22.8,17.4,14.9,12.8,1.1,1.6,26.9,-1.6,1.3,116.1,95.7,20.4,399.1,23.7
Dennis Smith Jr.,5,2018,2017,NCST,32,34.8,18.1,6,13.1,0.455,1.7,4.8,0.359,4.5,6.3,0.715,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,NCST,0.563,0.52,152.9,2.7,11.5,7.3,34.2,17.3,3.1,1.2,27.2,2,1.4,112.3,108,4.3,437.5,21.9
Jayson Tatum,3,2018,2017,DUKE,29,33.3,16.8,5.7,12.6,0.451,1.4,4,0.342,4.1,4.8,0.849,1.3,6,7.3,2.1,1.3,1.1,2.6,3,DUKE,0.565,0.505,164.2,4.9,19.8,12.8,12.6,15,2.3,3.2,26.6,-3.6,1.3,111.5,99.8,11.7,345.9,21.2
Donovan Mitchell,2,2018,2017,U of L,34,32.3,15.6,5.3,13.1,0.408,2.4,6.6,0.354,2.6,3.2,0.806,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6,U of L,0.534,0.498,156.7,3.7,12.9,8.3,16,10.2,3.7,1.7,24.6,0.6,1.2,116.4,93.2,23.2,368.5,20.8
Deandre Ayton,3,2019,2018,U of A,35,33.5,20.1,7.9,12.9,0.612,0.3,1,0.343,4,5.5,0.733,3.4,8.2,11.6,1.6,0.6,1.9,2,2.3,U of A,0.65,0.625,168.8,13.5,28.2,21.4,10.2,11.3,1,6.1,26.6,-2.7,1.6,130.3,97.5,32.9,660.9,30.6
Luka Doncic,1,2019,2018,RMB,33,25.9,16,4.7,10.5,0.451,1.7,5.2,0.329,4.8,5.9,0.816,0.8,4,4.8,4.3,1.1,0.3,2.3,1.5,RMB,0.612,0.533,159.7,4.2,19.5,12,30.4,15,2.3,1.3,28.8,2.1,1.5,122,109.4,12.6,410.3,22.9
Trae Young,2,2019,2018,OU,32,35.4,27.4,8.2,19.3,0.422,3.7,10.3,0.36,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,OU,0.585,0.518,164.3,1.3,9.9,5.8,48.6,18.2,2.5,0.7,37.2,1.5,1.4,114.7,106.9,7.8,552.5,26.9
Jaren Jackson Jr.,4,2019,2018,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,MSU,0.647,0.595,170.6,8.8,19.7,14.9,9.3,17.4,1.6,14.2,23.5,-4.8,1.6,120.7,85.8,34.9,370.4,25.1
Kendrick Nunn,2,2020,2019,OU,30,37.9,25.9,8.7,20.1,0.435,4.5,11.3,0.394,4,4.7,0.838,0.9,3.8,4.7,3.8,1.5,0.4,2.9,2.2,OU,0.58,0.547,166.7,2.7,11.1,7,23.4,11.6,2.2,0.9,32.6,-1.1,1.3,113.2,107,6.1,433,22.9
Collin Sexton,5,2019,2018,UA,33,29.9,19.2,5.9,13.3,0.447,1.3,4,0.336,5.9,7.6,0.778,1,2.7,3.8,3.6,0.8,0.1,2.8,2.5,UA,0.567,0.498,156.1,4.1,9.8,7,27.7,14.2,1.6,0.3,32.9,-1.3,1.4,113.1,104.8,8.3,328,22.4
Zion Williamson,3,2020,2019,DUKE,33,30,22.6,9,13.2,0.68,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,DUKE,0.702,0.708,165.9,12.7,18.2,15.6,14.6,12.8,3.8,5.8,28.4,-3.1,1.7,133.6,86.4,47.3,677.4,37.8
Coby White,5,2020,2019,UNC,35,28.5,16.1,5.4,12.7,0.423,2.3,6.6,0.353,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,UNC,0.556,0.516,157.7,1.3,11.4,6.4,24.6,15.5,2,1.3,27,0.2,1.3,111,98.5,12.5,341.3,18.6
LaMelo Ball,1,2021,2020,ILL,12,31.2,17,6.3,16.6,0.377,1.7,6.7,0.25,2.8,3.9,0.723,1.8,5.6,7.4,6.8,1.7,0.2,2.5,2.6,ILL,0.464,0.427,135,5.6,20.5,12.4,36.9,12,2.6,0.6,27.7,6.3,1,105,111.8,-6.8,166.9,16.6
Tyrese Haliburton,3,2021,2020,ISU,22,36.7,15.2,5.6,11.1,0.504,2.4,5.6,0.419,1.7,2,0.822,1.5,4.4,5.9,6.5,2.5,0.7,2.8,1.3,ISU,0.631,0.611,174.6,4.5,13.3,8.9,33.8,18.7,3.7,2,19.8,4.1,1.4,121.2,97.4,23.7,375.9,25.6
Saddiq Bey,4,2021,2020,VILL,31,33.9,16.1,5.6,11.8,0.477,2.5,5.6,0.451,2.3,2.9,0.769,1.3,3.5,4.7,2.4,0.8,0.4,1.5,2.5,VILL,0.608,0.584,169.7,4.5,11.4,8,14.8,10.1,1.3,1.1,22.8,0.3,1.4,121.1,99.9,21.1,335.4,22
Anthony Edwards,2,2021,2020,UGA,32,33,19.1,6.3,15.8,0.402,2.3,7.7,0.294,4.1,5.3,0.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,UGA,0.52,0.473,146.8,2.5,14.8,8.7,17.9,12.9,2.3,1.7,30.4,-2.4,1.2,105.7,102.6,3.1,328.4,21.6
Jalen Green,4,2022,2021,IGN,15,32,17.9,6.3,13.6,0.461,2.1,5.7,0.365,1.9,2.3,0.829,0.5,3.5,4.1,2.8,1.5,0.3,2.7,1.7,IGN,0.613,0.537,165.4,1.9,11.6,6.9,13.5,15.4,2.3,0.8,23.2,-2.5,1.3,102.2,111.9,-9.7,166.6,15.4
Evan Mobley,2,2022,2021,USC,33,33.8,16.4,6,10.3,0.578,0.4,1.2,0.3,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,USC,0.624,0.595,157.2,9.7,18.9,14.6,14.2,14.6,1.4,8.8,22.9,-2,1.6,123.4,90.3,33.1,545.9,29.8
Franz Wagner,5,2022,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,UM,0.587,0.544,165.6,2.9,19.5,12.1,17.3,10.8,2.3,3.2,19.7,2.3,1.3,121.8,91.3,30.5,347.6,22.9
Cade Cunningham,3,2022,2021,OSU,27,35.4,20.1,6.5,14.8,0.438,2.3,5.7,0.4,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4,2.5,OSU,0.574,0.515,168.4,2.3,16.2,9.5,20.8,18.7,2.5,2.3,29.2,-4.6,1.4,106,95.6,10.5,331,22.5
Scottie Barnes,1,2022,2021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FSU,0.548,0.531,139.9,7.3,11,9.3,31.5,20.7,3.4,2.1,23.7,1.1,1.3,109.5,97,12.5,216.8,22.1
Walker Kessler,3,2023,2022,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU,0.627,0.627,140.4,10.9,22.2,16.6,6.9,10.7,2.4,19,18.9,-1.9,1.5,126,82.3,43.7,523.4,31.3
Paolo Banchero,1,2023,2022,DUKE,39,33,17.2,6.3,13.2,0.478,1.1,3.3,0.338,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,DUKE,0.557,0.52,154.5,6.4,19,13.2,17.5,13.3,1.9,2.7,27.4,-0.7,1.3,113.8,97.2,16.6,532.3,24.8
Jalen Williams,2,2023,2022,SCU,33,34.8,18,6.6,12.9,0.513,1.3,3.2,0.396,3.5,4.3,0.809,0.6,3.8,4.4,4.2,1.2,0.5,2.1,2.6,SCU,0.601,0.562,171.8,2,11.7,7.2,22.6,12.3,1.9,1.5,24.9,1.9,1.4,118.5,101.6,16.8,417.6,23.3
Bennedict Mathurin,4,2023,2022,U of A,37,32.6,17.7,5.9,13.1,0.45,2.2,6.1,0.369,3.7,4.8,0.764,1.4,4.2,5.6,2.5,1,0.3,1.8,1.8,U of A,0.576,0.536,158.3,5.1,12.5,9.2,13.7,10.4,1.6,0.8,24.9,-0.3,1.4,119.8,95.8,24,434,21.6
